x_pix,y_pix,z_pix,brightness,zrsquare,zciratio,hyb,cellID,fov
NaN,NaN,NaN,NaN,NaN,NaN,1,1,3
NaN,NaN,NaN,NaN,NaN,NaN,1,1,3
201.496885351721,227.92020201873,20.0000029322101,614.479334899101,0.999999999999562,0.0187932168363432,1,1,3
206.228912310059,164.452115036483,4.1346062445329,2837.62146676711,0.997130909636627,0.0411619014100942,1,1,3
0,0,0,0,0,0,1,1,3
220.646656199875,165.89061570906,34.999996898282,897.406501251337,0.99999999999982,0.0182188838299832,1,1,3
NaN,NaN,NaN,NaN,NaN,NaN,2,1,3
0,0,0,0,0,0,2,1,3
198.228845686836,213.309425629259,25.8037386468303,2654.38323758673,0.960953823278677,0.285818405414502,2,1,3
NaN,NaN,NaN,NaN,NaN,NaN,1,2,3
NaN,NaN,NaN,NaN,NaN,NaN,1,2,3
159.780158059282,181.144582489916,21.6018081407182,4126.62776317644,0.985893474432142,0.0812426213102881,1,2,3
165.928707970579,238.984735358321,26.1967901798904,2950.50230938761,0.984287763019187,0.0883374256254719,1,2,3
0,0,0,0,0,0,1,2,3
169.987588187374,203.677162778466,23.6598435849822,3287.10250191769,0.994006040097139,0.0531623050445103,1,2,3
NaN,NaN,NaN,NaN,NaN,NaN,1,3,3
NaN,NaN,NaN,NaN,NaN,NaN,1,3,3
146.849085193334,200.13809661175,35.4407022147597,3564.09552756035,0.96778036811633,0.122761813862828,1,3,3
153.859502196464,198.913271862377,36.4650529206635,3947.70640486858,0.994091144202654,0.0539166331968204,1,3,3
233.516547442374,220.083805861307,10.0401103833521,565.411014435421,0.454604014794091,0.629055543036324,1,3,3
NaN,NaN,NaN,NaN,NaN,NaN,1,4,3
NaN,NaN,NaN,NaN,NaN,NaN,1,4,3
180.869570260502,250.904313446856,29.7231261567617,639.017660358991,0.588459601078303,0.469027685428443,1,4,3
186.068222144151,130.079891810849,26.0040930520541,871.668062434008,0.879347438650762,0.240639518118665,1,4,3
196.188044599381,127.884492745687,27.0689898056057,739.042187118993,0.472007970565604,0.615209820686619,1,4,3
204.233024923074,128.116467338255,16.522029667154,3149.56843598168,0.54911799245642,120.469154617372,1,4,3
214.107043822702,128.085862748851,21.4950632173633,1469.85524128705,0.84018995752205,0.309994542744962,1,4,3
220.357652592583,127.654643805216,33.1609968758579,869.663159751734,0.87029563988789,0.248812218783942,1,4,3
224.714542200325,128.506281236709,1.50138328301572,3458.91815586018,0.999999998259198,0.000899683571013221,1,4,3
235.313022612105,128.741899540708,1.48814547552255,1543.73387380136,0.999999998898492,0.00772141393674186,1,4,3
242.796046706559,164.032508351537,7.26993539295848,1256.84973039659,0.768454966645009,0.40315468395298,1,4,3
245.837627877407,214.688442482607,28.7724179089317,1094.03346965664,0.918926902893315,0.216490839358689,1,4,3
NaN,NaN,NaN,NaN,NaN,NaN,2,4,3
0,0,0,0,0,0,2,4,3
205.341777291545,126.391133998548,17.9341727357462,803.989993514139,0.835062277813183,0.292103071931879,2,4,3
NaN,NaN,NaN,NaN,NaN,NaN,1,5,3
NaN,NaN,NaN,NaN,NaN,NaN,1,5,3
