x_pix,y_pix,z_pix,brightness,zrsquare,zciratio,hyb,cellID,fov
NaN,NaN,NaN,NaN,NaN,NaN,1,1,1
NaN,NaN,NaN,NaN,NaN,NaN,1,1,1
143.124700697574,202.642992320734,30.5029593504948,4193.56334310553,0.831505573700954,12.2508642306613,1,1,1
145.150919635279,190.313198053305,26.8721382479583,1128.05075510981,0.857317535597518,0.26744727294757,1,1,1
153.386685643463,173.664683035054,31.5218040365528,2682.25758981934,0.999999999217744,0.00127268317123826,1,1,1
152.877942235214,242.641163384676,29.507659178673,5142.66649974009,0.999999998705405,0.00046614814107689,1,1,1
155.674023181989,179.634763342981,13.9999886716427,879.457753463291,0.999999999999944,0.0175240163896871,1,1,1
160.774679563454,175.367536540455,24.9934910250819,1171.92886414413,0.542631719735163,386.542657074712,1,1,1
164.580138563586,205.649719256602,4.49125419390742,2833.54018968427,0.290991966360851,554.789429256147,1,1,1
166.982670045671,167.874105991621,14.4576791369279,6779.99569274343,0.61885104515422,8887.84085903654,1,1,1
169.844409905718,245.5170539213,29.9932594439792,1751.18145699966,0.87316043401096,0.248201743209826,1,1,1
183.716329853134,248.124509895837,36.4640826787804,1644.84615163827,0.818044763453594,0.338293480456969,1,1,1
185.28479849042,172.600855211321,29.9804109290613,913.832067700908,0.660657475520919,51135385.5007226,1,1,1
194.009377088213,175.089749754299,14.9848503462055,1782.37413728919,0.890848334619347,0.227194292922457,1,1,1
199.107722179232,164.565784550381,29.5395076449115,4860.96026181592,0.264262365544641,29583.2150455604,1,1,1
197.220377184392,224.10683535538,0.514813457123651,2754.22218480438,0.99999999989738,NaN,1,1,1
202.764888117987,169.502249346876,18.9999903512836,446.240402951606,0.999999999999723,0.0184914564980758,1,1,1
207.756791255404,178.334199390689,16.131511552277,2478.76113202828,0.927778686309616,0.229539649197209,1,1,1
213.701593083208,172.649403708417,35.4672335948274,2390.37572496409,0.405452744971747,190.894050930602,1,1,1
NaN,NaN,NaN,NaN,NaN,NaN,2,1,1
NaN,NaN,NaN,NaN,NaN,NaN,2,1,1
141.115029397431,200.581692263506,31.5185679719775,1503.79856914152,0.999999999060117,0.00112329273663174,2,1,1
174.2176115851,245.77761582782,39.4960492843873,1037.77064368416,0.999999998780987,0.0179527556721331,2,1,1
193.700122096529,165.436958474182,16.0049128654809,309.219388196806,0.241984347472342,261.024056458808,2,1,1
193.470872423295,175.318494814066,19.9924446527996,458.07773280806,0.556126747656056,0.54131531885958,2,1,1
NaN,NaN,NaN,NaN,NaN,NaN,1,2,1
NaN,NaN,NaN,NaN,NaN,NaN,1,2,1
138.492856563649,217.167512108222,19.4977199019175,4416.33901345898,0.266785561553068,144.80104315475,1,2,1
141.822810995837,226.865168450534,19.4896467202758,3410.0174494873,0.239681460935519,2434.92504823328,1,2,1
144.396498233466,168.601683888379,30.1137646210205,972.734489943829,0.48441035611914,0.571517160994382,1,2,1
144.471205498818,188.12210657611,30.0181838026503,1874.67515655087,0.872763157318361,0.39459627135308,1,2,1
149.152768032024,148.438897626266,27.8519994521003,5374.39510227743,0.862360178257102,0.237725803641465,1,2,1
153.79354860702,148.565847659731,11.5457923685856,951.710051505984,0.556643417837728,4056.59061129483,1,2,1
158.197364458144,228.863355698083,12.5385771073922,609.886342585218,0.970841244505823,0.203501090546104,1,2,1
160.655845047882,149.506976220623,12.4672479003366,2082.35406045391,0.446905729301955,205.661420616404,1,2,1
166.699134632622,151.629588021568,19.0241330588125,1157.0658722634,0.893694414398848,0.223380172548136,1,2,1
181.930839370429,243.316560591514,14.5505594594606,1663.61610710346,0.806412732776331,0.345805371918015,1,2,1
188.542192645813,163.123657465324,30.4991111611588,2639.37887515718,0.999999999077938,5.31961556558732e-05,1,2,1
188.142914334494,228.695769187708,26.4887125954008,1939.88256971841,0.999999999076102,0.000678319040556374,1,2,1
189.0941978455,236.376161897928,10.6537535606692,6450.22777680528,0.837579663230196,0.784811620095662,1,2,1
193.513695871845,233.065441195885,19.4983760157795,3927.89714265043,0.999999999004869,9.72794555700318e-05,1,2,1
194.051521413229,248.791488219079,30.3026210870859,12769.7724764859,0.217811049629961,NaN,1,2,1
196.833695058509,224.149704006038,25.4734374859828,2928.13949914884,0.609669036185872,1374.41031095632,1,2,1
204.441442336939,225.198895012091,26.1972410572027,3148.04688372198,0.789540826643735,0.342266605165111,1,2,1
211.355272497539,187.726256736392,33.9999999992398,416.169700639705,0.999999999998748,0.0195103803115491,1,2,1
215.488001087287,213.967727643813,23.455357936877,7479.62290217912,0.697891072692423,150.887320238607,1,2,1
NaN,NaN,NaN,NaN,NaN,NaN,2,2,1
NaN,NaN,NaN,NaN,NaN,NaN,2,2,1
169.081314413151,150.702531123366,18.9336156665296,2890.60683474054,0.846140437695905,0.242898503283415,2,2,1
188.455201974653,236.134860514085,23.4955219954859,1152.64260577886,0.999999999038318,0.000267165482359388,2,2,1
NaN,NaN,NaN,NaN,NaN,NaN,1,3,1
NaN,NaN,NaN,NaN,NaN,NaN,1,3,1
68.599942010457,248.937812769565,31.5061985435184,2644.32707972106,0.999999998523765,0.000377675515886485,1,3,1
94.4062714952828,257.957616557843,40,446.334511332771,0.999999999999622,NaN,1,3,1
103.000082336732,254.805662661712,40,574.066962883908,0.999999999999809,NaN,1,3,1
109.988855607633,261.048385587366,10.000000016839,543.497139536133,0.999999999999741,0.0184580705466638,1,3,1
112.26816053471,150.447910030862,32.4220240396841,2916.97323095479,0.564479683208106,247.064507489108,1,3,1
